Report: CURRENT PROFILE GRAPH
WeldRecId: 15
Date: 05-02-2025, Time: 18:34:58

      Current       ,        Time        
         53         ,     1738417904     
         54         ,     1738417904     
         55         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         53         ,     1738417904     
         54         ,     1738417904     
         55         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         53         ,     1738417904     
         54         ,     1738417904     
         55         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
         57         ,     1738417904     
